date_scraped,market,market_node,title,url,date_added,last_updated,location,property_type,size_units,land_area_sqm,public_sale_price_ngn,notes
2026-09-15,Lagos,Banana Island,G34 Residence,https://estateintel.com/app/projects/g34-residence-banana-island-lagos,June 2025,"6 months ago Banana Island,",Banana Island,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Lagos,Old Ikoyi,Ikoyi Residential Market Overview 2021,https://estateintel.com/insights/ikoyi-residential-market-overview,,,Old Ikoyi,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Lagos,Lekki Phase 1,Lekki Phase 1 Residential Market Overview,https://estateintel.com/insights/lekki-phase-1-residential-market-overview,,,Lekki Phase 1,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Lagos,Victoria Island,"Bluerock Residences, VI",https://estateintel.com/app/projects/bluerock-residences-vi-victoria-island-lagos,October 2025,"a year ago Victoria Island,",Victoria Island,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Lagos,Eko Atlantic,"Updated - Development: Eko Pearl Towers, Eko Atlantic - Lagos",https://estateintel.com/insights/eko-pearl-eko-atlantic,,,Eko Atlantic,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Lagos,Ikeja GRA,Aurora Belle Court,https://estateintel.com/app/projects/eso-close-ikeja-gra-lagos,February 2026,"a month ago Ikeja GRA,",Ikeja GRA,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Abuja,Asokoro,Plot No. 2779 Asokoro,https://estateintel.com/app/projects/plot-no-2779-asokoro,March 2021,"2 years ago Asokoro, Federal Capital",Asokoro,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Abuja,Maitama,"Maitama is the Ikoyi of Abuja, Here's how the Highbrow Residential Market is Performing.",https://estateintel.com/insights/maitama-is-the-ikoyi-of-abuja-heres-how-the-highbrow-residential-market-is-performing,,,Maitama,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
2026-09-15,Abuja,Wuse,Here is what you need to know about Wuse; the commercial hub of Abuja,https://estateintel.com/insights/here-is-what-you-need-to-know-about-wuse-the-commercial-hub-of-abuja,,,Wuse,public_research,,,,Public Estate Intel page only. Premium/login-gated values are not collected or bypassed.
